	0
alegria	alegria
medo	medo
nojo	nojo
raiva	raiva
tristeza	tristeza
animação	alegria
pavor	medo
asco	nojo
fúria	raiva
infelicidade	tristeza
alacridade	alegria
fobia	medo
aversão	nojo
ira	raiva
desânimo	tristeza
agrado	alegria
horror	medo
náusea	nojo
cólera	raiva
tristura	tristeza
felicidade	alegria
terror	medo
enjoo	nojo
irritação	raiva
descontentamento	tristeza
prazer	alegria
pânico	medo
repugnância	nojo
ódio	raiva
abatimento	tristeza
aprazimento	alegria
temor	medo
repulsão	nojo
gana	raiva
melancolia	tristeza
euforia	alegria
susto	medo
repulsa	nojo
furor	raiva
desalento	tristeza
bem-estar	alegria
ojeriza	medo
fastio	nojo
zanga	raiva
desolação	tristeza
bom humor	alegria
amedrontamento	medo
abominação	nojo
agressividade	raiva
desconsolo	tristeza
comprazimento	alegria
receio	medo
animosidade	nojo
sanha	raiva
insatisfação	tristeza
contentamento	alegria
apreensão	medo
enojo	nojo
exasperação	raiva
esmorecimento	tristeza
contento	alegria
preocupação	medo
engulho	nojo
frustração	raiva
prostração	tristeza
deleitação	alegria
ansiedade	medo
antojo	nojo
indignação	raiva
depressão	tristeza
deleitamento	alegria
inquietação	medo
luto	nojo
antipatia	raiva
desesperança	tristeza
deleite	alegria
incerteza	medo
dó	nojo
odiosidade	raiva
mágoa	tristeza
desfastio	alegria
dúvida	medo
pesar	nojo
execração	raiva
desgosto	tristeza
enlevo	alegria
covardia	medo
crepe	nojo
desprezo	raiva
sofrimento	tristeza
entusiasmo	alegria
fraqueza	medo
cipreste	nojo
rancor	raiva
aflição	tristeza
gáudio	alegria
frouxidão	medo
vergonha	nojo
ressentimento	raiva
angústia	tristeza
gosto	alegria
poltronaria	medo
pudor	nojo
hidrofobia	raiva
consternação	tristeza
gozo	alegria
pusilanimidade	medo
recato	nojo
danação	raiva
dissabor	tristeza
jovialidade	alegria
poltronice	medo
decoro	nojo
moléstia	raiva
amargura	tristeza
jubilação	alegria
ignávia	medo
pejo	nojo
desejo	raiva
dor	tristeza
júbilo	alegria
médico	medo
constrangimento	nojo
apetite	raiva
pena	tristeza
jucundidade	alegria
camarção	medo
tédio	nojo
ânsia	raiva
padecimento	tristeza
jubilidade	alegria
espanto	medo
mal-estar	nojo
arrebatamento	raiva
azar	tristeza
ledice	alegria
alarma	medo
repelência	nojo
assanhamento	raiva
desgraça	tristeza
regozijo	alegria
cagaço	medo
afronta	nojo
exaltação	raiva
fatalidade	tristeza
satisfação	alegria
estarrecimento	medo
estuação	nojo
castigo	raiva
desdita	tristeza
oásis	alegria
intolerância	medo
agonia	nojo
punição	raiva
desventura	tristeza
carinho	alegria
crueldade	medo
naupatia	nojo
vingança	raiva
infortúnio	tristeza
carícia	alegria
monstruosidade	medo
peso	nojo
vontade	raiva
misantropia	tristeza
afago	alegria
barbaridade	medo
tontura	nojo
garra	raiva
aborto	tristeza
cortesia	alegria
atrocidade	medo
abuso	nojo
anseio	raiva
mal	tristeza
educação	alegria
hediondez	medo
entojo	nojo
avidez	raiva
adversidade	tristeza
gentileza	alegria
selvajaria	medo
aborrecimento	nojo
